subid,jp_id,point,lat,lon,location,location_original,
979,,POINT(1606660.2286676248 6461022.145308473),50.0850736,14.4328744,"Bohemia, Czech Republic",,
980,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
981,,POINT(1279939.2041591578 6239379.179002355),48.7904472,11.4978895,"Bavaria, Germany",,
982,,POINT(-10363588.779221304 5142722.291352943),41.8780025,-93.097702,Iowa,,
983,,POINT(918377.6948577381 6371222.627423867),49.5646683,8.2499272,"Dirmstein, Germany",,
984,,POINT(828397.8053716389 6159952.749614191),48.3181795,7.4416241,"Alsace, France",,
985,,POINT(1019957.8879151642 6559974.923579693),50.6520515,9.1624376,"Hesse, Germany",,
986,,POINT(1010921.6840985653 6982691.2956706965),52.9983423,9.081264,"Baden, Germany",,
987,,POINT(1130066.0890498909 6118923.587522439),48.0724931,10.1515564,"Fellheim, Germany",,
988,,POINT(-8593255.180436589 5042377.967342213),41.2033216,-77.1945247,Pennsylvania,,
989,,POINT(-9228394.145571535 3785070.7896179464),32.1656221,-82.9000751,"Georgia, United States",,
990,,POINT(-13293543.42450309 4408244.133335477),36.778261,-119.4179324,California,,
991,,POINT(-9653928.973604059 5102907.361454292),41.611143,-86.7227195,"La Porte, Indiana",,
992,jp_cite_00187,,,,,,"""POINT(1185622.8750417593 6336736.808888903)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-7946256.5818446 5222174.159182549)"",""POINT(-9754904.512583427 5142738.901800851)""}"
993,,POINT(1185622.8750417593 6336736.808888903),49.3633273,10.6506315,"Franconia, Germany",,
994,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
995,,POINT(-7946256.5818446 5222174.159182549),42.4072107,-71.3824374,Massachusetts,,
996,,POINT(-9754904.512583427 5142738.901800851),41.8781136,-87.6297982,"Chicago, Illinois",,
997,jp_cite_00188,,,,,,"""POINT(2660936.190137471 7342195.905872392)"",""POINT(-696894.4879151827 7047966.378955979)""}"
998,,POINT(2660936.190137471 7342195.905872392),54.8985207,23.9035965,"Kaunas, Lithuania",,
999,,POINT(-696894.4879151827 7047966.378955979),53.3498053,-6.2603097,"Dublin, Ireland",,
1000,jp_cite_00189,,,,,,"""POINT(-12447551.562482074 4743932.698258384)"",""POINT(-12429771.11247734 4899982.238007817)"",""POINT(-12335392.344257563 4807899.180711598)"",""POINT(-12192684.441755597 4932359.061778497)"",""POINT(1295767.7782125955 6821446.042739539)"",""POINT(-9638091.304748226 4234430.42538702)"",""POINT(-8528429.900246715 4763352.471949581)""}"
1001,,POINT(-12447551.562482074 4743932.698258384),39.1552391,-111.8182582,"Gunnison, Utah",,
1002,,POINT(-12429771.11247734 4899982.238007817),40.2338438,-111.6585337,"Provo, Utah",,
1003,,POINT(-12335392.344257563 4807899.180711598),39.5994095,-110.8107148,"Price, Utah",,
1004,,POINT(-12192684.441755597 4932359.061778497),40.4555157,-109.5287479,"Vernal, Utah",,
1005,,POINT(1295767.7782125955 6821446.042739539),52.11776,11.64008,"Wurttemberg, Germany",,
1006,,POINT(-9638091.304748226 4234430.42538702),35.5174913,-86.5804473,Tennessee,,
1007,,POINT(-8528429.900246715 4763352.471949581),39.2903848,-76.6121893,"Baltimore, Maryland",,
1008,jp_cite_00190,,,,,,"""POINT(1884101.0942202886 6873939.257412578)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-9089865.48844794 3546320.836784247)""}"
1009,,POINT(1884101.0942202886 6873939.257412578),52.406374,16.9251681,"Poznan, Poland",Prussian Poland,
1010,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
1011,,POINT(-9089865.48844794 3546320.836784247),30.3321838,-81.655651,"Jacksonville, Florida",,
1012,jp_cite_00191,,,,,,"""POINT(4225548.653769276 6801122.66144857)"",""POINT(-8189469.475838417 5700850.969337447)"",""POINT(-7930711.772305103 5910023.688072596)""}"
1013,,POINT(4225548.653769276 6801122.66144857),52.0055148,37.9587494,Eastern Europe,,
1014,,POINT(-8189469.475838417 5700850.969337447),45.5016889,-73.567256,"Montreal, Quebec",,
1015,,POINT(-7930711.772305103 5910023.688072596),46.8032826,-71.242796,"Quebec, Quebec",,
1016,jp_cite_00192,,,,,,"""POINT(-8189469.475838417 5700850.969337447)"",""POINT(-7930711.772305103 5910023.688072596)""}"
1017,,POINT(-8189469.475838417 5700850.969337447),45.5016889,-73.567256,"Montreal, Quebec",,
1018,,POINT(-7930711.772305103 5910023.688072596),46.8032826,-71.242796,"Quebec, Quebec",,
1019,jp_cite_00193,,,,,,"""POINT(-8523949.52451384 5268036.760894565)"",""POINT(1163458.5521707046 6650655.040248428)"",""POINT(-8476692.508247329 5319299.391249349)"",""POINT(-8529478.763620771 5265715.162669079)"",""POINT(-8523294.019692395 5301586.754563673)""}"
1020,,POINT(-8523949.52451384 5268036.760894565),42.7106747,-76.5719414,"Venice, New York",,
1021,,POINT(1163458.5521707046 6650655.040248428),51.165691,10.451526,Germany,,
1022,,POINT(-8476692.508247329 5319299.391249349),43.0481221,-76.1474244,"Syracuse, New York",,
1023,,POINT(-8529478.763620771 5265715.162669079),42.6953486,-76.6216114,"Ledyard, New York",,
1024,,POINT(-8523294.019692395 5301586.754563673),42.9317335,-76.5660529,"Auburn, New York",,
1025,jp_cite_00194,,,,,,"""POINT(918990.2080918446 6005582.258519355)"",""POINT(687477.5157803782 6295129.917695446)"",""POINT(845755.4750823489 6035191.964815598)"",""POINT(950577.4475585113 6002456.071048378)"",""POINT(670594.6125658861 5980980.5861045085)"",""POINT(488378.4097795205 5691010.122171217)"",""POINT(538303.0974549782 5742617.236142029)"",""POINT(261848.1441043369 6250566.717368069)""}"
1026,,POINT(918990.2080918446 6005582.258519355),47.3876664,8.2554295,"Munf, Aargau, Switzerland",,
1027,,POINT(687477.5157803782 6295129.917695446),49.1193089,6.1757156,"Metz, France",,
1028,,POINT(845755.4750823489 6035191.964815598),47.5674422,7.5975507,"Basel, Switzerland",,
1029,,POINT(950577.4475585113 6002456.071048378),47.3686498,8.5391825,"Zurich, Switzerland",,
1030,,POINT(670594.6125658861 5980980.5861045085),47.237829,6.0240539,"Besancon, France",,
1031,,POINT(488378.4097795205 5691010.122171217),45.439695,4.3871779,"Saint-Etienne, France",,
1032,,POINT(538303.0974549782 5742617.236142029),45.764043,4.835659,"Lyon, France",,
1033,,POINT(261848.1441043369 6250566.717368069),48.856614,2.3522219,"Paris, France",,
1034,jp_cite_00195,,,,,,"""POINT(1726140.751689405 6788493.336904192)"",""POINT(1822725.1820355535 6141557.760552287)"",""POINT(2119549.2644892214 6023728.0779136615)"",""POINT(-8780699.859329702 5294703.831860124)"",""POINT(-10040951.74400295 4668382.843189159)"",""POINT(-13524694.695823846 4661911.338147049)"",""POINT(-13444511.511519494 4628817.73837564)"",""POINT(-13486350.151759937 4602552.900766231)""}"
1035,,POINT(1726140.751689405 6788493.336904192),51.9356214,15.5061862,"Zielona Gora, Poland",,
1036,,POINT(1822725.1820355535 6141557.760552287),48.2081743,16.3738189,"Vienna, Austria",,
1037,,POINT(2119549.2644892214 6023728.0779136615),47.497912,19.040235,"Budapest, Hungary",,
1038,,POINT(-8780699.859329702 5294703.831860124),42.8864468,-78.8783689,"Buffalo, New York",,
1039,,POINT(-10040951.74400295 4668382.843189159),38.6270025,-90.1994042,"Saint Louis, Missouri",,
1040,,POINT(-13524694.695823846 4661911.338147049),38.5815719,-121.4943996,"Sacramento, California",,
1041,,POINT(-13444511.511519494 4628817.73837564),38.3488023,-120.7741018,"Jackson, California",,
1042,,POINT(-13486350.151759937 4602552.900766231),38.1635297,-121.1499447,"Lockeford, California",,
1043,jp_cite_00196,,,,,,"""POINT(-10654710.28698895 4451692.554190846)"",""POINT(1698192.0454385553 7270403.142874053)""}"
1044,,POINT(-10654710.28698895 4451692.554190846),37.09024,-95.712891,United States of America,,
1045,,POINT(1698192.0454385553 7270403.142874053),54.5259614,15.2551187,Europe,,
1046,jp_cite_00197,,,,,,"""POINT(-917705.6368280144 7059743.326019042)"",""POINT(1163458.5521707046 6650655.040248428)""}"
1047,,POINT(-917705.6368280144 7059743.326019042),53.41291,-8.24389,Ireland,,
1048,,POINT(1163458.5521707046 6650655.040248428),51.165691,10.451526,Germany,,
1049,jp_cite_00198,,,,,,"""POINT(885952.5090561905 6122085.395766597)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-8447068.510451969 5048682.001572746)"",""POINT(-9862912.20398277 4450736.562321961)""}"
1050,,POINT(885952.5090561905 6122085.395766597),48.0914682,7.9586468,"Waldkirch, Germany",,
1051,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
1052,,POINT(-8447068.510451969 5048682.001572746),41.2459149,-75.8813075,"Wilkes-Barre, Pennsylvania",,
1053,,POINT(-9862912.20398277 4450736.562321961),37.0833893,-88.6000478,"Paducah, Kentucky",,
